o,n,c,t
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,e,0,2
g,e,0,2
t,i,m,1
0,A,0,6
0,A,0,6
0,A,0,6
0,A,0,6
g,A,0,3
0,A,0,6
0,A,0,6
g,e,0,2
0,A,0,6
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,e,0,2
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
s,A,0,1
0,A,0,6
g,a,n,2
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
g,e,0,2
0,A,0,6
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
t,i,m,1
t,i,m,1
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,e,0,2
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,e,0,2
0,A,0,6
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,a,n,2
0,A,0,6
g,A,0,3
0,A,0,6
h,A,0,2
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,e,0,2
g,a,n,2
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,a,n,2
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
0,A,0,6
0,A,0,6
0,A,0,6
g,e,0,2
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
k,e,u,4
l,e,u,1
g,A,0,3
t,i,m,1
g,A,0,3
g,a,n,2
g,e,0,2
g,A,0,2
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,a,n,2
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
0,A,0,6
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,e,0,2
g,e,0,2
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
t,i,m,1
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
0,A,0,6
g,A,0,3
g,e,0,2
g,e,0,2
g,e,0,2
g,A,0,3
g,e,0,2
g,e,0,2
t,i,m,1
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
0,A,0,6
g,A,0,3
g,e,0,2
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
g,e,0,2
g,e,0,2
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,e,0,2
0,A,0,6
0,A,0,6
g,A,0,3
g,a,n,2
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
s,e,i,2
l,O,0,2
l,A,n,6
l,O,0,2
l,O,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,a,n,2
0,A,0,6
0,A,0,6
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
0,A,0,6
g,e,0,2
0,A,0,6
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
0,A,0,6
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,2
0,A,0,6
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
t,i,m,1
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
t,i,m,1
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
0,A,0,6
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
h,A,0,2
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,a,n,2
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,e,0,2
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,e,0,2
g,e,0,2
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
t,i,m,1
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
l,O,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,e,0,2
g,a,n,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
0,A,0,6
h,A,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
0,A,0,6
0,A,0,6
h,A,0,2
g,e,0,2
g,A,0,3
g,e,0,2
g,e,0,2
g,A,0,3
g,e,0,2
0,A,0,6
g,e,0,2
0,A,0,6
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,e,0,2
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
n,A,i,3
n,A,i,3
g,e,0,2
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
g,e,0,2
0,A,0,6
g,e,0,2
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,2
0,A,0,6
g,e,0,2
0,A,0,6
0,A,0,6
t,i,m,1
g,e,0,2
g,a,n,2
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,e,0,2
g,A,0,3
g,A,0,3
t,i,m,1
0,A,0,6
0,A,0,6
g,A,0,3
t,i,m,1
0,A,0,6
g,a,n,2
g,a,n,2
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,a,n,2
g,e,0,2
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,a,n,2
0,A,0,6
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
l,i,p,1
g,A,0,3
g,e,0,2
0,A,0,6
0,A,0,6
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
t,i,m,1
0,A,0,6
g,A,0,3
g,A,0,3
g,e,0,2
t,i,m,1
g,e,0,2
g,A,0,3
0,A,0,6
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
0,A,0,6
g,a,n,2
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,a,n,2
g,A,0,3
0,A,0,6
0,A,0,6
0,A,0,6
0,A,0,6
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,e,0,2
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
t,i,m,1
g,A,0,3
g,A,0,3
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
0,A,0,6
0,A,0,6
g,a,n,2
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
0,A,0,6
g,A,0,3
g,A,0,3
g,a,n,2
g,A,0,3
g,A,0,3
